course,course_name,course_number,description,credit_hours
PORT 489,Theoretical Foundations of SLA,489,"General introduction to second language acquisition (SLA) theory. Examines nativist, interactionist and cognitive approaches to SLA and explores the role of  learner characteristics. Same as FR 481, GER 489, ITAL 489, LING 489, and SPAN 489. 3 undergraduate hours. 4 graduate hours. Prerequisite: An introductory course in linguistics or consent of instructor.",3 OR 4 hours.
PORT 595,Special Topics Port & Braz Lit,595,"Independent study/research under the direction of a faculty member. May or may not fulfill requirements for a particular degree program in Spanish, Italian and Portuguese. Consult graduate advisor. May be repeated in same or subsequent terms to a maximum of 8 hours.",1 TO 4 hours.
PORT 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
PS 100,Intro to Political Science,100,Surveys the major concepts and approaches employed in the study of politics. Credit is not given for both PS 100 and PS 200.,3 hours.
PS 201,US Racial & Ethnic Politics,201,"Examines efforts by racial and ethnic communities to organize politically and by society to allocate resources based on race or ethnicity. Topical focus includes African Americans, Latinos, Asian Americans, Native Americans, and white ethnics. The primary goal of the course is to develop a more comprehensive understanding of racial and ethnic politics by identifying commonalities and differences among these groups and their relationship to the state. Same as AAS 201, AFRO 201, and LLS 201.",3 hours.
PS 242,Introduction to Modern Africa,242,"Interdisciplinary introduction to Africa dealing with basic themes and problems in the politics, economics, sociology, anthropology, and history of Africa. Same as ANTH 222, AFST 222, and SOC 222.",3 hours.
PS 280,Intro to Intl Relations,280,"Structure and processes of international relations, trends in international politics, and the future of the international system. Credit is not given for both PS 280 and PS 281.",3 hours.
PS 305,The US Supreme Court,305,"Examines how the modern Supreme Court resolves major issues in American constitutional politics. Prerequisite: PS 101, six hours of Political Science credit, or consent of instructor; PS 301 or PS 302.",3 hours.
PS 385,Politics of the European Union,385,"Considers the history of the European Union and its current functions and operations. Focuses on the ongoing process of political and cultural integration. Consists of sections in Illinois and abroad, interacting extensively via the worldwide web. Same as EURO 385, FR 385, and GER 385. Prerequisite: PS 240 or PS 241, six hours of Political Science credit, or consent of instructor; cross-listings require language training appropriate for enrollment in the respective overseas programs.",3 hours.
PS 490,Individual Study,490,Special topics not treated in regularly scheduled courses; designed primarily for juniors and seniors. 1 to 4 undergraduate hours. No graduate credit. May be repeated. Prerequisite: Evidence of adequate preparation for such study; consent of faculty member supervising the work; and approval of the department head.,1 TO 4 hours.
PS 491,Internship,491,"Students follow a program of study and research related to an approved internship under the direction of the internship director and/or a faculty sponsor. Consult departmental undergraduate advisor or internship director. 0 to 6 undergraduate hours. No graduate credit. Approved for Letter and S/U grading. May be repeated to a maximum of 12 undergraduate hours. Prerequisite: 45 credit hours completed, one year in residence at an institution of higher learning, minimum 2.5 grade point average, coursework related to the internship, and acceptance to the internship director or undergraduate director and by faculty sponsor. Students enrolled in internship courses may not register for more than 18 hours total for all courses during the semester of the internship course.",0 TO 6 hours.
PS 590,Research in Selected Topics,590,Research in selected topics by arrangement with the instructor.,2 TO 12 hours.
PS 597,Preparing Future Faculty,597,"Provides graduate students an insight on the responsibilities and expectations of academic faculty. Core responsibilities - research, teaching and service - required of faculty is discussed, along with important resources and strategies to aid students in obtaining a faculty appointment and plotting a successful career path. Approved for S/U grading only. May be repeated in separate terms.",0 hours.
PS 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
PSM 520,Special Topics-Sci & Business,520,"Special, emerging, or advanced topics in science and business. Topics will vary by offering. May be used to pilot course offerings before adding them to the PSM curriculum. Open to Illinois Professional Science Master's (PSM) students only. Approved for letter and S/U grading. May be repeated in the same term up to 6 hours or separate terms up to 9 hours; this is contingent on program approval and other requirements.",0 TO 3 hours.
PSM 555,PSM Internship,555,"Practical learning experience in which business knowledge and skills are applied to science problems and opportunities. In consultation with program coordinators, students find internship companies and positions that match their individual career objectives and meet the learning goals of the program. Learning objectives, deliverables, and performance evaluation are determined for each student by the program coordinator. Completed in the summer after the first year of study. Open to Illinois Professional Sciences Master's (PSM) students only. Internationals holding student visas must have prior authorization from International Student and Scholar Services. Approved for letter and S/U grading. May be repeated in separate terms.",0 TO 1 hours.
PSYC 224,Cognitive Psych,224,"Introduction to the psychological study of human information processing and memory; acquisition, retrieval, and forgetting; and general knowledge, concepts, reasoning, and related issues in cognition. Prerequisite: PSYC 100 or PSYC 103.",3 hours.
PSYC 290,Research Experience in Psych,290,"Supervised participation in research and scholarly activities, usually as an assistant to an investigator. Approved for S/U grading only. May be repeated to a maximum of 9 hours. Prerequisite: Ten hours of psychology or cognate area, or written consent of instructor.",1 TO 4 hours.
PSYC 336,Topics in Clin/Comm Psych,336,"Survey and critical review of subdisciplines in clinical/community psychology; concepts, methods, and assessments, intervention strategies and tactics. Subdisciplines addressed will vary. See Class Schedule for current titles. May be repeated with approval to a maximum of 6 undergraduate hours in same term, or to a maximum of 9 undergraduate hours in subsequent terms. Prerequisite: PSYC 238 or PSYC 239 or both depending on topic.",3 hours.
PSYC 363,Developmental Child Psych Lab,363,"Provides students with a background in developmental research methodology, such as observational techniques used with children. Students will gain experience collecting data and learn how to write research papers. Prerequisite: PSYC 216 and PSYC 235, or equivalent.",4 hours.
